participant_id,participant_age,participant_gender,participant_accent,recording_conditions,original_command,transcribed_text,word_error_rate,category,complexity,expected_function,expected_params,actual_function,actual_params,tier_used,success,correct_response,latency_ms,timestamp
P002,28,M,British,medium,Quiet mode for 1 hour,Quiet mode for 1 hour,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 60}",fallback,True,True,938,2025-11-22T22:57:54.320550
P002,28,M,British,medium,Dim screen for sleeping,Dim screen for sleeping,0.0,contextual,high,setScreenBrightness,"{""brightnessPercent"": 10}",setScreenBrightness,"{""brightnessPercent"": 20}",fallback,True,False,945,2025-11-20T22:57:54.320550
P002,28,M,British,medium,Enable quiet mode when at church,Enabl quiet mode when at church,0.167,rule,high,createRule,"{""trigger"": ""at church"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1088,2025-11-16T22:57:54.320550
P002,28,M,British,medium,Brighten screen,Brighten screen,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",,{},fallback,False,False,886,2025-11-17T22:57:54.320550
P002,28,M,British,medium,Set phone for quiet work environment,Set phone for auiet work environment,0.167,contextual,high,setVolume,"{""volumePercent"": 25}",,{},fallback,False,False,926,2025-11-20T22:57:54.320550
P002,28,M,British,medium,Brightness up,Brightness up,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 80}",setScreenBrightness,{},fallback,False,False,1003,2025-11-20T22:57:54.320550
P002,28,M,British,medium,Flashlight on,Flashlight an,0.5,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": false}",fallback,True,False,1071,2025-11-23T22:57:54.321926
P003,35,F,Indian,low,Enable do not disturb mode for 25 minutes,Enable do not disturb mode for 25 minutes,0.0,temporal,low,setDoNotDisturb,"{""durationMinutes"": 25}",setDoNotDisturb,"{""durationMinutes"": 25}",fallback,True,True,1117,2025-11-16T22:57:54.321926
P003,35,F,Indian,low,Screen to 90 percent,Screen to 90 percent,0.0,parameter,low,setScreenBrightness,"{""brightnessPercent"": 90}",,{},fallback,False,False,1025,2025-11-23T22:57:54.321926
P003,35,F,Indian,low,Brighten screen,Brighte screen,0.5,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",,{},fallback,False,False,957,2025-11-23T22:57:54.321926
P003,35,F,Indian,low,Switch on internet,Switch on internet,0.0,direct,medium,toggleWifi,"{""enable"": true}",toggleWifi,"{""enable"": true}",fallback,True,True,996,2025-11-17T22:57:54.321926
P003,35,F,Indian,low,Phone settings for meditation,Phone settings for meditation,0.0,contextual,very_high,setVolume,"{""volumePercent"": 15}",,{},fallback,False,False,1071,2025-11-18T22:57:54.321926
P003,35,F,Indian,low,Set phone to sleep mode,Set phone to sleep mode,0.0,contextual,high,setVolume,"{""volumePercent"": 10}",,{},fallback,False,False,1005,2025-11-18T22:57:54.321926
P003,35,F,Indian,low,Half volume please,Half volume pleaae,0.333,parameter,medium,setVolume,"{""volumePercent"": 50}",setVolume,{},fallback,False,False,996,2025-11-20T22:57:54.321926
P003,35,F,Indian,low,Silence phone while sleeping,Silence phone while sleeping,0.0,rule,medium,createRule,"{""trigger"": ""sleeping"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,926,2025-11-16T22:57:54.321926
P003,35,F,Indian,low,Turn off alerts when at work,Turn off alerts when at woak,0.167,rule,high,createRule,"{""trigger"": ""at work"", ""action"": ""enable_dnd""}",createRule,"{""trigger"": ""at work"", ""action"": ""enable_dnd""}",fallback,True,True,934,2025-11-22T22:57:54.322924
P003,35,F,Indian,low,Adjust for movie watching,Adjust for movie watching,0.0,contextual,high,setVolume,"{""volumePercent"": 80}",,{},fallback,False,False,945,2025-11-19T22:57:54.322924
P003,35,F,Indian,low,Set brightness for reading,Set brightness for readini,0.25,contextual,high,setScreenBrightness,"{""brightnessPercent"": 70}",setScreenBrightness,{},fallback,False,False,855,2025-11-18T22:57:54.322924
P003,35,F,Indian,low,Set to minimum volume,Set to minimum volume,0.0,parameter,medium,setVolume,"{""volumePercent"": 0}",setVolume,"{""volumePercent"": 20}",fallback,True,False,1047,2025-11-23T22:57:54.322924
P004,19,M,American,high,Quiet mode for 1 hour,Quie mode for 1 hour,0.2,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,False,False,948,2025-11-20T22:57:54.322924
P004,19,M,American,high,No interruptions for 40 minutes,No interruptions for 40 minutes,0.0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 40}",,{},fallback,False,False,921,2025-11-21T22:57:54.322924
P004,19,M,American,high,Dim screen for sleeping,Dim scoeen for sleeping,0.25,contextual,high,setScreenBrightness,"{""brightnessPercent"": 10}",setScreenBrightness,"{""brightnessPercent"": 20}",fallback,True,False,949,2025-11-21T22:57:54.322924
P004,19,M,American,high,Light on,Light oe,0.5,direct,medium,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": false}",fallback,True,False,992,2025-11-18T22:57:54.322924
P004,19,M,American,high,Set brightness to 75 percent,Set brightness to 75 percent,0.0,parameter,low,setScreenBrightness,"{""brightnessPercent"": 75}",setScreenBrightness,"{""brightnessPercent"": 75}",llm,True,True,2274,2025-11-17T22:57:54.322924
P004,19,M,American,high,Turn off alerts for one hour,Turn off alerts fer one hour,0.167,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,False,False,881,2025-11-17T22:57:54.323928
P004,19,M,American,high,Turn off alerts while exercising,Turn off alerts while exeicising,0.2,rule,medium,createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",fallback,True,True,1036,2025-11-17T22:57:54.323928
P004,19,M,American,high,Silence notifications for 90 minutes,silent notifications fur 90 minutes,0.4,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 90}",,{},fallback,False,False,1018,2025-11-19T22:57:54.323928
P004,19,M,American,high,Connect to wifi,Connect to wifi,0.0,direct,low,toggleWifi,"{""enable"": true}",toggleWifi,"{""enable"": true}",fallback,True,True,981,2025-11-17T22:57:54.323928
P004,19,M,American,high,Volume at 40 percent,Volume at 40 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 40}",setVolume,"{""volumePercent"": 40}",fallback,True,True,927,2025-11-19T22:57:54.323928
P004,19,M,American,high,Silence phone during dinner time,silence phone during dinne time,0.2,rule,medium,createRule,"{""trigger"": ""dinner time"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,987,2025-11-22T22:57:54.323928
P004,19,M,American,high,Silence when in meditation,silence wien in meditatio,0.5,rule,high,createRule,"{""trigger"": ""in meditation"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1066,2025-11-22T22:57:54.323928
P005,42,F,Australian,medium,Set to 95 percent,oet to 95 percent,0.25,parameter,low,setVolume,"{""volumePercent"": 95}",,{},fallback,False,False,921,2025-11-20T22:57:54.323928
P005,42,F,Australian,medium,Increase to 80 percent,Increase to 80 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 80}",,{},fallback,False,False,1083,2025-11-16T22:57:54.324926
P005,42,F,Australian,medium,Dim screen for sleeping,Dim screen for sleeping,0.0,contextual,high,setScreenBrightness,"{""brightnessPercent"": 10}",setScreenBrightness,"{""brightnessPercent"": 20}",fallback,True,False,1060,2025-11-16T22:57:54.324926
P005,42,F,Australian,medium,Turn on flashlight,Turn on flashlight,0.0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,True,True,1082,2025-11-16T22:57:54.324926
P005,42,F,Australian,medium,Turn off sounds while watching movies,Turn off sound while watching movies,0.167,rule,high,createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",fallback,True,True,905,2025-11-20T22:57:54.324926
P005,42,F,Australian,medium,Make phone quiet for library,Make phon quiet for library,0.2,contextual,high,setVolume,"{""volumePercent"": 20}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,909,2025-11-17T22:57:54.324926
P005,42,F,Australian,medium,Decrease brightness,Decrease brightness,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 30}",setScreenBrightness,"{""brightnessPercent"": 30}",llm,True,True,2115,2025-11-17T22:57:54.324926
P005,42,F,Australian,medium,Light off,Light off,0.0,direct,medium,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,1006,2025-11-20T22:57:54.324926
P005,42,F,Australian,medium,Make it 25 percent,Make it 25 percent,0.0,parameter,medium,setVolume,"{""volumePercent"": 25}",,{},fallback,False,False,1086,2025-11-21T22:57:54.324926
P005,42,F,Australian,medium,Mute during meetings,Mute during meetings,0.0,rule,medium,createRule,"{""trigger"": ""during meetings"", ""action"": ""mute""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1051,2025-11-23T22:57:54.324926
P005,42,F,Australian,medium,Set to minimum volume,Set to minimum volume,0.0,parameter,medium,setVolume,"{""volumePercent"": 0}",setVolume,"{""volumePercent"": 20}",fallback,True,False,991,2025-11-18T22:57:54.324926
P005,42,F,Australian,medium,Prepare for office meeting,Prepare for office meeting,0.0,contextual,high,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,False,False,980,2025-11-23T22:57:54.324926
P006,31,M,Canadian,low,Minimum brightness,Minimum bright ness,1.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 10}",,{},fallback,False,False,912,2025-11-16T22:57:54.326125
P006,31,M,Canadian,low,Turn off alerts while exercising,Turn off alerts while exercising,0.0,rule,medium,createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",fallback,True,True,1118,2025-11-22T22:57:54.326125
P006,31,M,Canadian,low,Do not disturb for 15 minutes,Do not disturb for 15 minutes,0.0,temporal,low,setDoNotDisturb,"{""durationMinutes"": 15}",setDoNotDisturb,"{""durationMinutes"": 15}",llm,True,True,2385,2025-11-20T22:57:54.326125
P006,31,M,Canadian,low,Volume to 20 percent please,Volume to 20 percent please,0.0,parameter,low,setVolume,"{""volumePercent"": 20}",setVolume,"{""volumePercent"": 20}",llm,True,True,2544,2025-11-23T22:57:54.326125
P006,31,M,Canadian,low,Make it loud for music,Make it loud for music,0.0,contextual,medium,setVolume,"{""volumePercent"": 90}",setVolume,{},fallback,False,False,939,2025-11-17T22:57:54.326125
P006,31,M,Canadian,low,Flashlight off,Flashlight off,0.0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,979,2025-11-17T22:57:54.326125
P006,31,M,Canadian,low,Keep phone silent for one hour,Keep phone silent for one hour,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,False,False,1094,2025-11-19T22:57:54.326125
P006,31,M,Canadian,low,Brightness down,Brightness down,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 20}",setScreenBrightness,"{""brightnessPercent"": 20}",llm,True,True,2300,2025-11-20T22:57:54.327125
P006,31,M,Canadian,low,Mute my phone for the next 3 hours,Mute my phone for the next 3 hours,0.0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 180}",setDoNotDisturb,"{""durationMinutes"": 180}",fallback,True,True,1037,2025-11-19T22:57:54.327125
P006,31,M,Canadian,low,Brighten screen,Brighten screen,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",,{},fallback,False,False,1064,2025-11-17T22:57:54.327125
P006,31,M,Canadian,low,I need quiet time for one hour,I need quiet time for one hour,0.0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1000,2025-11-19T22:57:54.327125
P006,31,M,Canadian,low,Prepare for office meeting,Prepare for office meeting,0.0,contextual,high,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 60}",llm,True,True,2547,2025-11-18T22:57:54.327125
P007,26,F,American,medium,Light off,Light off,0.0,direct,medium,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,1067,2025-11-19T22:57:54.327125
P007,26,F,American,medium,Set to 95 percent,Set to 95 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 95}",,{},fallback,False,False,949,2025-11-20T22:57:54.327125
P007,26,F,American,medium,Set phone for quiet work environment,Set phone for quie wor environment,0.333,contextual,high,setVolume,"{""volumePercent"": 25}",,{},fallback,False,False,1123,2025-11-16T22:57:54.327125
P007,26,F,American,medium,Phone settings for public transport,Phon settings for public transport,0.2,contextual,very_high,setVolume,"{""volumePercent"": 40}",,{},fallback,False,False,1004,2025-11-22T22:57:54.327125
P007,26,F,American,medium,I'm driving set appropriate mode,I'm driving eet apprapriate mode,0.4,contextual,very_high,setVolume,"{""volumePercent"": 70}",,{},fallback,False,False,1007,2025-11-17T22:57:54.327125
P007,26,F,American,medium,Set volume for exercise,Set volume for exercise,0.0,contextual,high,setVolume,"{""volumePercent"": 85}",setVolume,{},fallback,False,False,982,2025-11-17T22:57:54.328150
P007,26,F,American,medium,Do not disturb until my meeting ends,Do not disturb until my meeting ends,0.0,temporal,very_high,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,931,2025-11-21T22:57:54.328150
P007,26,F,American,medium,Make screen brighter,Make screen brighter,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",setScreenBrightness,"{""brightnessPercent"": 100}",fallback,True,True,984,2025-11-23T22:57:54.328150
P007,26,F,American,medium,Make phone quiet for library,Make phone quiet for library,0.0,contextual,high,setVolume,"{""volumePercent"": 20}",setVolume,"{""volumePercent"": 20}",llm,True,True,2690,2025-11-20T22:57:54.328150
P007,26,F,American,medium,Set volume to 50 percent,Set volume to 50 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 50}",setVolume,"{""volumePercent"": 50}",fallback,True,True,949,2025-11-19T22:57:54.328150
P007,26,F,American,medium,Minimum brightness,Minimum brightness,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 10}",setScreenBrightness,"{""brightnessPercent"": 20}",fallback,True,False,970,2025-11-16T22:57:54.328150
P007,26,F,American,medium,Enable quiet mode when at church,Enable quiet mode when at churc,0.167,rule,high,createRule,"{""trigger"": ""at church"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1083,2025-11-23T22:57:54.328150
P008,38,M,Irish,high,Lower brightness,Lower brigh ness,1.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 30}",,{},fallback,False,False,1056,2025-11-22T22:57:54.328150
P008,38,M,Irish,high,Torch on please,Torch on pleas,0.333,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,True,True,954,2025-11-17T22:57:54.328150
P008,38,M,Irish,high,Wifi off,Wifi ofa,0.5,direct,low,toggleWifi,"{""enable"": false}",toggleWifi,"{""enable"": false}",fallback,True,True,930,2025-11-18T22:57:54.328150
P008,38,M,Irish,high,Set phone for quiet work environment,Set phone for quiet woro environmeot,0.333,contextual,high,setVolume,"{""volumePercent"": 25}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1043,2025-11-23T22:57:54.328150
P008,38,M,Irish,high,Turn off sounds while watching movies,Tuon off sounds weile watchin movies,0.5,rule,high,createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",,{},fallback,False,False,907,2025-11-16T22:57:54.329378
P008,38,M,Irish,high,Mute my phone for the next 3 hours,Mute my phune for the next 3 hours,0.125,temporal,high,setDoNotDisturb,"{""durationMinutes"": 180}",setDoNotDisturb,"{""durationMinutes"": 180}",fallback,True,True,1027,2025-11-21T22:57:54.329378
P008,38,M,Irish,high,Brighten screen,Brighten scrien,0.5,direct,low,setScreenBrightness,"{""brightnessPercent"": 100}",,{},fallback,False,False,1079,2025-11-19T22:57:54.329378
P008,38,M,Irish,high,Prepare my device for nighttime,Prepare my device for nighttime,0.0,contextual,very_high,setVolume,"{""volumePercent"": 10}",,{},fallback,False,False,1041,2025-11-18T22:57:54.329378
P008,38,M,Irish,high,Mute notifications when I'm in class,mut notifications whe I'm in classy,0.5,rule,high,createRule,"{""trigger"": ""in class"", ""action"": ""mute""}",,{},fallback,False,False,936,2025-11-16T22:57:54.329378
P008,38,M,Irish,high,Silence notifications when driving,Silence notifications when driving,0.0,rule,medium,createRule,"{""trigger"": ""driving"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,995,2025-11-23T22:57:54.329378
P008,38,M,Irish,high,Flashlight off,flat light off,1.5,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,931,2025-11-16T22:57:54.329378
P008,38,M,Irish,high,Make it 45 percent,Mak it 45 peicent,0.5,parameter,medium,setVolume,"{""volumePercent"": 45}",,{},fallback,False,False,1106,2025-11-17T22:57:54.329378
P009,22,F,American,low,Flashlight off,Flashlight off,0.0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,True,True,1041,2025-11-19T22:57:54.329378
P009,22,F,American,low,Turn on DND for half an hour,Turn on DND for half an hour,0.0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 30}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,True,864,2025-11-18T22:57:54.329378
P009,22,F,American,low,Switch off internet,Switch off internet,0.0,direct,medium,toggleWifi,"{""enable"": false}",toggleWifi,"{""enable"": false}",fallback,True,True,1022,2025-11-21T22:57:54.330691
P009,22,F,American,low,Set volume at 30 percent,Set volume at 30 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 30}",setVolume,"{""volumePercent"": 30}",llm,True,True,2105,2025-11-16T22:57:54.330691
P009,22,F,American,low,Torch on please,Torch on please,0.0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",llm,True,True,2449,2025-11-21T22:57:54.330691
P009,22,F,American,low,Enable quiet mode when at church,Enable quiet mode when at church,0.0,rule,high,createRule,"{""trigger"": ""at church"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,938,2025-11-17T22:57:54.330691
P009,22,F,American,low,Set volume 90 percent,Set volume 90 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 90}",setVolume,"{""volumePercent"": 90}",fallback,True,True,1014,2025-11-23T22:57:54.330691
P009,22,F,American,low,Set volume to 50 percent,Set volume to 50 percent,0.0,parameter,low,setVolume,"{""volumePercent"": 50}",setVolume,"{""volumePercent"": 50}",fallback,True,True,1011,2025-11-16T22:57:54.330691
P009,22,F,American,low,Turn on flashlight,Turn on flashlight,0.0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,True,True,951,2025-11-20T22:57:54.330691
P009,22,F,American,low,Decrease brightness,Decrease brightness,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 30}",setScreenBrightness,{},fallback,False,False,1108,2025-11-21T22:57:54.330691
P009,22,F,American,low,Dim screen for sleeping,Dim screen for sleeping,0.0,contextual,high,setScreenBrightness,"{""brightnessPercent"": 10}",setScreenBrightness,"{""brightnessPercent"": 20}",fallback,True,False,1017,2025-11-21T22:57:54.330691
P009,22,F,American,low,Lower brightness,Lower brightness,0.0,direct,low,setScreenBrightness,"{""brightnessPercent"": 30}",setScreenBrightness,{},fallback,False,False,923,2025-11-21T22:57:54.330691
P010,45,M,Scottish,medium,Turn on wifi,Turn on wifi,0.0,direct,low,toggleWifi,"{""enable"": true}",toggleWifi,"{""enable"": true}",llm,True,True,2136,2025-11-22T22:57:54.330691
P010,45,M,Scottish,medium,Turn off alerts while exercising,Turu off alerts whiie exercising,0.4,rule,medium,createRule,"{""trigger"": ""exercising"", ""action"": ""mute""}",,{},fallback,False,False,1003,2025-11-17T22:57:54.331704
P010,45,M,Scottish,medium,Screen brightness for outdoors,Screen brightness for outdours,0.25,contextual,high,setScreenBrightness,"{""brightnessPercent"": 100}",setScreenBrightness,{},fallback,False,False,1043,2025-11-22T22:57:54.331704
P010,45,M,Scottish,medium,Change to 85 percent,Change to 85 percent,0.0,parameter,medium,setVolume,"{""volumePercent"": 85}",,{},fallback,False,False,864,2025-11-19T22:57:54.331704
P010,45,M,Scottish,medium,Mute phone during gym time,Mute phon during gym time,0.2,rule,medium,createRule,"{""trigger"": ""gym time"", ""action"": ""mute""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,1123,2025-11-17T22:57:54.331704
P010,45,M,Scottish,medium,Enable DND when I'm studying,Enable DND when I'm studying,0.0,rule,medium,createRule,"{""trigger"": ""studying"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,893,2025-11-18T22:57:54.331704
P010,45,M,Scottish,medium,Brightness at 50 percent,Brightness at 50 percent,0.0,parameter,low,setScreenBrightness,"{""brightnessPercent"": 50}",setScreenBrightness,"{""brightnessPercent"": 50}",llm,True,True,2415,2025-11-18T22:57:54.331704
P010,45,M,Scottish,medium,Set phone for quiet work environment,Set phone for quiet wor environment,0.167,contextual,high,setVolume,"{""volumePercent"": 25}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,True,False,864,2025-11-18T22:57:54.331704
P010,45,M,Scottish,medium,Connect to wifi,Connect uo wifi,0.333,direct,low,toggleWifi,"{""enable"": true}",toggleWifi,"{""enable"": true}",fallback,True,True,936,2025-11-18T22:57:54.331704
P010,45,M,Scottish,medium,Set phone to sleep mode,Set phone to sleep mode,0.0,contextual,high,setVolume,"{""volumePercent"": 10}",setVolume,"{""volumePercent"": 10}",llm,True,True,2517,2025-11-21T22:57:54.331704
P010,45,M,Scottish,medium,I'm driving set appropriate mode,a'm driving set appropriate mod,0.4,contextual,very_high,setVolume,"{""volumePercent"": 70}",,{},fallback,False,False,1055,2025-11-17T22:57:54.331704
P010,45,M,Scottish,medium,Wifi off,Wifi off,0.0,direct,low,toggleWifi,"{""enable"": false}",toggleWifi,"{""enable"": false}",fallback,True,True,1041,2025-11-22T22:57:54.331704
