participant_id,recording_conditions,original_command,transcribed_text,word_error_rate,category,complexity,expected_function,expected_params,actual_function,actual_params,tier_used,success,correct_response,latency_ms,timestamp
P003,low,Silence for the next 50 minutes,Silence for the next 50 minute,0.167,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 50}",setDoNotDisturb,"{""durationMinutes"": 50}",fallback,TRUE,TRUE,1053,2025-11-17T00:10:03.393550
P003,low,Prepare for office meeting,Prepare for office meeting,0,contextual,high,setDoNotDisturb,"{""durationMinutes"": 60}",,{},fallback,FALSE,FALSE,898,2025-11-14T00:10:03.393550
P003,low,Make phone quiet for library,Make phone quiet for library,0,contextual,high,setVolume,"{""volumePercent"": 20}",setVolume,"{""volumePercent"": 20}",llm,TRUE,TRUE,2638,2025-11-13T00:10:03.393550
P003,low,Enable quiet mode when at church,Enable quiet mode when at church,0,rule,high,createRule,"{""trigger"": ""at church"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1046,2025-11-18T00:10:03.393550
P003,low,Volume at 55 percent,volumn at 55 percent,0.25,parameter,low,setVolume,"{""volumePercent"": 55}",,{},fallback,FALSE,FALSE,983,2025-11-19T00:10:03.393550
P003,low,Enable silence for 2 hours,Enable silence for 2 hours,0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 120}",setDoNotDisturb,"{""durationMinutes"": 120}",fallback,TRUE,TRUE,956,2025-11-17T00:10:03.393550
P003,low,Lower to 35 percent,Lower to 35 percent,0,parameter,low,setVolume,"{""volumePercent"": 35}",,{},fallback,FALSE,FALSE,988,2025-11-19T00:10:03.395085
P003,low,I'm going to bed adjust settings,I'a going to bed adjust settings,0.167,contextual,very_high,setVolume,"{""volumePercent"": 10}",,{},fallback,FALSE,FALSE,975,2025-11-16T00:10:03.395085
P003,low,Make it suitable for cooking,Make it suitable for cooking,0,contextual,very_high,setVolume,"{""volumePercent"": 60}",,{},fallback,FALSE,FALSE,1021,2025-11-16T00:10:03.395085
P003,low,Change volume to 15 percent,Change volume to 15 percent,0,parameter,low,setVolume,"{""volumePercent"": 15}",setVolume,"{""volumePercent"": 15}",fallback,TRUE,TRUE,938,2025-11-16T00:10:03.395085
P004,high,Turn off notifications at bedtime,Turn off notifications at bedtim,0.2,rule,medium,createRule,"{""trigger"": ""bedtime"", ""action"": ""enable_dnd""}",,{},fallback,FALSE,FALSE,1029,2025-11-16T00:10:03.395085
P004,high,I'm studying lower the volume,I'm studying lower the volume,0,contextual,high,setVolume,"{""volumePercent"": 30}",setVolume,"{""volumePercent"": 20}",fallback,TRUE,FALSE,1065,2025-11-18T00:10:03.395085
P004,high,Torch off please,Torch off please,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",llm,TRUE,TRUE,2031,2025-11-17T00:10:03.395085
P004,high,Make volume 100 percent,Make volume 100 percent,0,parameter,low,setVolume,"{""volumePercent"": 100}",setVolume,"{""volumePercent"": 100}",llm,TRUE,TRUE,2726,2025-11-18T00:10:03.395085
P004,high,Turn off the light,Turn off the ligh,0.25,direct,medium,toggleFlashlight,"{""enable"": false}",,{},fallback,FALSE,FALSE,1060,2025-11-15T00:10:03.396636
P004,high,Turn off flashlight,Turn off flashlight,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,949,2025-11-18T00:10:03.396636
P004,high,Adjust for workout session,Adjust fer woikout session,0.5,contextual,high,setVolume,"{""volumePercent"": 85}",,{},fallback,FALSE,FALSE,936,2025-11-20T00:10:03.396636
P004,high,Enable DND when I'm studying,Enable DND whe I'm studying,0.2,rule,medium,createRule,"{""trigger"": ""studying"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1017,2025-11-15T00:10:03.396636
P004,high,Silence phone while sleeping,Silence puone while sleep in,0.75,rule,medium,createRule,"{""trigger"": ""sleeping"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1037,2025-11-15T00:10:03.396636
P004,high,I'm driving set appropriate mode,I'm driving set appropriate mode,0,contextual,very_high,setVolume,"{""volumePercent"": 70}",,{},fallback,FALSE,FALSE,893,2025-11-14T00:10:03.396636
P005,medium,I need silence for the next 2 hours,u need silence for the next 2 hours,0.125,temporal,high,setDoNotDisturb,"{""durationMinutes"": 120}",setDoNotDisturb,"{""durationMinutes"": 120}",fallback,TRUE,TRUE,915,2025-11-14T00:10:03.396636
P005,medium,Silence notifications when driving,Silence notifications when driving,0,rule,medium,createRule,"{""trigger"": ""driving"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1041,2025-11-20T00:10:03.396636
P005,medium,Enable quiet mode when at church,Enable quiet mode when at church,0,rule,high,createRule,"{""trigger"": ""at church"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1036,2025-11-18T00:10:03.398173
P005,medium,Turn off the light,Turn off the light,0,direct,medium,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,1006,2025-11-16T00:10:03.398173
P005,medium,Switch on flashlight,Switch on flesh light,0.667,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,TRUE,TRUE,1066,2025-11-19T00:10:03.398173
P005,medium,Activate torch,Activate torch,0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,FALSE,1119,2025-11-14T00:10:03.398173
P005,medium,Flashlight off,Flashlight off,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,1042,2025-11-19T00:10:03.399255
P005,medium,Set volume for reading,Set volume for reading,0,contextual,high,setVolume,"{""volumePercent"": 30}",setVolume,{},fallback,FALSE,FALSE,984,2025-11-19T00:10:03.399255
P005,medium,Change to 85 percent,Change to 85 percent,0,parameter,medium,setVolume,"{""volumePercent"": 85}",,{},fallback,FALSE,FALSE,1059,2025-11-14T00:10:03.399255
P005,medium,Set volume 70 percent,Set volume 70 percent,0,parameter,low,setVolume,"{""volumePercent"": 70}",setVolume,"{""volumePercent"": 70}",fallback,TRUE,TRUE,1075,2025-11-17T00:10:03.399255
P006,low,Turn off flashlight,Turn off flashlight,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",llm,TRUE,TRUE,2017,2025-11-18T00:10:03.399255
P006,low,Make it suitable for cooking,Make it suitable for cooking,0,contextual,very_high,setVolume,"{""volumePercent"": 60}",,{},fallback,FALSE,FALSE,918,2025-11-17T00:10:03.400253
P006,low,Light on,Light on,0,direct,medium,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,TRUE,TRUE,944,2025-11-14T00:10:03.400253
P006,low,Light off,Light off,0,direct,medium,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,1006,2025-11-17T00:10:03.400253
P006,low,Silence notifications when driving,Silence notifications when driving,0,rule,medium,createRule,"{""trigger"": ""driving"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1086,2025-11-18T00:10:03.400253
P006,low,Silence phone while sleeping,Silence phone while sleeping,0,rule,medium,createRule,"{""trigger"": ""sleeping"", ""action"": ""enable_dnd""}",createRule,"{""trigger"": ""sleeping"", ""action"": ""enable_dnd""}",llm,TRUE,TRUE,2650,2025-11-20T00:10:03.400253
P006,low,Turn on flashlight,Turn on flashlight,0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,TRUE,TRUE,980,2025-11-15T00:10:03.400253
P006,low,Phone settings for meditation,Phone settings for meditation,0,contextual,very_high,setVolume,"{""volumePercent"": 15}",,{},fallback,FALSE,FALSE,967,2025-11-19T00:10:03.401511
P006,low,Make it 45 percent,Make it a5 percent,0.25,parameter,medium,setVolume,"{""volumePercent"": 45}",,{},fallback,FALSE,FALSE,943,2025-11-20T00:10:03.401511
P006,low,No interruptions for 40 minutes,No interruptions for 40 minutes,0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 40}",,{},fallback,FALSE,FALSE,996,2025-11-16T00:10:03.401511
P007,medium,Light on,Ligh on,0.5,direct,medium,toggleFlashlight,"{""enable"": true}",,{},fallback,FALSE,FALSE,1032,2025-11-14T00:10:03.401511
P007,medium,Volume at 40 percent,Volume at 40 percent,0,parameter,low,setVolume,"{""volumePercent"": 40}",setVolume,"{""volumePercent"": 40}",fallback,TRUE,TRUE,1136,2025-11-16T00:10:03.402515
P007,medium,Set phone to sleep mode,Set phone io sleep mode,0.2,contextual,high,setVolume,"{""volumePercent"": 10}",,{},fallback,FALSE,FALSE,987,2025-11-15T00:10:03.402515
P007,medium,Turn off notifications at bedtime,Tur off notifications at bedtime,0.2,rule,medium,createRule,"{""trigger"": ""bedtime"", ""action"": ""enable_dnd""}",,{},fallback,FALSE,FALSE,1089,2025-11-18T00:10:03.402515
P007,medium,Deactivate torch,Deactivate torch,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",llm,TRUE,TRUE,2333,2025-11-13T00:10:03.402515
P007,medium,Torch off please,Torch off please,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,903,2025-11-16T00:10:03.402515
P007,medium,Quiet mode for 1 hour,Quiet mode for 1 hour,0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 60}",fallback,TRUE,TRUE,937,2025-11-13T00:10:03.403510
P007,medium,Light off,Light off,0,direct,medium,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,1105,2025-11-16T00:10:03.403510
P007,medium,Make my phone suitable for sleeping,Make my phone suitable for sleeping,0,contextual,very_high,setVolume,"{""volumePercent"": 10}",,{},fallback,FALSE,FALSE,1075,2025-11-13T00:10:03.403510
P007,medium,Phone settings for public transport,Phone setting for public transport,0.2,contextual,very_high,setVolume,"{""volumePercent"": 40}",,{},fallback,FALSE,FALSE,1018,2025-11-15T00:10:03.403510
P008,high,Lower to 35 percent,Loaer to 35 percent,0.25,parameter,low,setVolume,"{""volumePercent"": 35}",,{},fallback,FALSE,FALSE,929,2025-11-13T00:10:03.404559
P008,high,Deactivate torch,Deactivaue torc,1,direct,low,toggleFlashlight,"{""enable"": false}",,{},fallback,FALSE,FALSE,949,2025-11-17T00:10:03.404559
P008,high,Silence when in meditation,silence whan in meditation,0.25,rule,high,createRule,"{""trigger"": ""in meditation"", ""action"": ""enable_dnd""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,971,2025-11-13T00:10:03.404559
P008,high,Set volume at 30 percent,Set vol yume at 30 percent,1,parameter,low,setVolume,"{""volumePercent"": 30}",,{},fallback,FALSE,FALSE,940,2025-11-19T00:10:03.404559
P008,high,Set it to 60 percent,Set et ta 60 percunt,0.6,parameter,medium,setVolume,"{""volumePercent"": 60}",,{},fallback,FALSE,FALSE,986,2025-11-14T00:10:03.404559
P008,high,Disable flashlight,Disable flashlight,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",llm,TRUE,TRUE,2417,2025-11-20T00:10:03.405669
P008,high,Set to 95 percent,Set to 95 percen,0.25,parameter,low,setVolume,"{""volumePercent"": 95}",,{},fallback,FALSE,FALSE,954,2025-11-18T00:10:03.405669
P008,high,Set phone for quiet work environment,aet phone for quiet wor eevironment,0.5,contextual,high,setVolume,"{""volumePercent"": 25}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1043,2025-11-17T00:10:03.405669
P008,high,Phone settings for public transport,Phone settings for public transport,0,contextual,very_high,setVolume,"{""volumePercent"": 40}",,{},fallback,FALSE,FALSE,949,2025-11-16T00:10:03.405669
P008,high,I'm driving set appropriate mode,I'm driving set appropraate mode,0.2,contextual,very_high,setVolume,"{""volumePercent"": 70}",,{},fallback,FALSE,FALSE,1093,2025-11-15T00:10:03.406669
P009,low,Turn off notifications at bedtime,Turn off note ifications at bedtime,0.8,rule,medium,createRule,"{""trigger"": ""bedtime"", ""action"": ""enable_dnd""}",,{},fallback,FALSE,FALSE,931,2025-11-14T00:10:03.406669
P009,low,I'm driving set appropriate mode,I'm driving set appropriate mode,0,contextual,very_high,setVolume,"{""volumePercent"": 70}",,{},fallback,FALSE,FALSE,954,2025-11-14T00:10:03.406669
P009,low,I need quiet time for one hour,I need quiet time for one hour,0,temporal,high,setDoNotDisturb,"{""durationMinutes"": 60}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1051,2025-11-20T00:10:03.406669
P009,low,Enable do not disturb mode for 25 minutes,Enable do not disturb mode for 25 minutes,0,temporal,low,setDoNotDisturb,"{""durationMinutes"": 25}",setDoNotDisturb,"{""durationMinutes"": 25}",fallback,TRUE,TRUE,953,2025-11-16T00:10:03.406669
P009,low,Set volume for exercise,Set volume for exercise,0,contextual,high,setVolume,"{""volumePercent"": 85}",setVolume,{},fallback,FALSE,FALSE,1061,2025-11-18T00:10:03.407744
P009,low,Turn on the light,Turn on the light,0,direct,medium,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",fallback,TRUE,TRUE,1030,2025-11-18T00:10:03.407744
P009,low,Turn off sounds while watching movies,Turn off sounds while watching movies,0,rule,high,createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",fallback,TRUE,TRUE,957,2025-11-14T00:10:03.407744
P009,low,Mute when I'm in a meeting,Mute when I'm in a meeting,0,rule,medium,createRule,"{""trigger"": ""in a meeting"", ""action"": ""mute""}",createRule,"{""trigger"": ""in a meeting"", ""action"": ""mute""}",llm,TRUE,TRUE,2377,2025-11-16T00:10:03.407744
P009,low,Enable DND for 45 minutes,Enable DND for 45 minutes,0,temporal,medium,setDoNotDisturb,"{""durationMinutes"": 45}",setDoNotDisturb,"{""durationMinutes"": 45}",fallback,TRUE,TRUE,983,2025-11-13T00:10:03.407744
P009,low,Turn the flashlight off,Turn the flashlight off,0,direct,low,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",fallback,TRUE,TRUE,1052,2025-11-17T00:10:03.408745
P010,medium,Turn off sounds while watching movies,Turn off sounds while watching muvies,0.167,rule,high,createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",createRule,"{""trigger"": ""watching movies"", ""action"": ""mute""}",fallback,TRUE,TRUE,1009,2025-11-19T00:10:03.408745
P010,medium,Make it 25 percent,Make it 25 percent,0,parameter,medium,setVolume,"{""volumePercent"": 25}",,{},fallback,FALSE,FALSE,1069,2025-11-18T00:10:03.408745
P010,medium,Set volume for exercise,Sit volume for exercis,0.5,contextual,high,setVolume,"{""volumePercent"": 85}",setVolume,{},fallback,FALSE,FALSE,1072,2025-11-14T00:10:03.408745
P010,medium,Light off,Light off,0,direct,medium,toggleFlashlight,"{""enable"": false}",toggleFlashlight,"{""enable"": false}",llm,TRUE,TRUE,2537,2025-11-20T00:10:03.408745
P010,medium,Half volume please,Half volume please,0,parameter,medium,setVolume,"{""volumePercent"": 50}",setVolume,{},fallback,FALSE,FALSE,1070,2025-11-19T00:10:03.409799
P010,medium,Mute my phone for the next 3 hours,Mute oy phon for the next 3 hours,0.25,temporal,high,setDoNotDisturb,"{""durationMinutes"": 180}",setDoNotDisturb,"{""durationMinutes"": 180}",fallback,TRUE,TRUE,983,2025-11-18T00:10:03.409799
P010,medium,Set volume to 50 percent,Sut volume to 50 percent,0.2,parameter,low,setVolume,"{""volumePercent"": 50}",setVolume,"{""volumePercent"": 50}",fallback,TRUE,TRUE,996,2025-11-13T00:10:03.409799
P010,medium,Deactivate torch,Deactivate touch,0.5,direct,low,toggleFlashlight,"{""enable"": false}",,{},fallback,FALSE,FALSE,888,2025-11-13T00:10:03.409799
P010,medium,Mute notifications when I'm in class,Mute notifications when I'm in class,0,rule,high,createRule,"{""trigger"": ""in class"", ""action"": ""mute""}",setDoNotDisturb,"{""durationMinutes"": 30}",fallback,TRUE,FALSE,1022,2025-11-19T00:10:03.409799
P010,medium,Torch on please,Torch on please,0,direct,low,toggleFlashlight,"{""enable"": true}",toggleFlashlight,"{""enable"": true}",llm,TRUE,TRUE,2207,2025-11-14T00:10:03.410993
